지역,신재생에너지 종류,연도,생산량(toe),발전량(Mwh),보급용량-누적(kW),,,,,,,,,,,,,,,,,
서울,태양열,2020,621,0,0,,,,,,,,,,,,,,,,,
부산,태양열,2020,732,0,0,,,,,,,,,,,,,,,,,
대구,태양열,2020,837,0,0,,,,,,,,,,,,,,,,,
인천,태양열,2020,616,0,0,,,,,,,,,,,,,,,,,
광주,태양열,2020,568,0,0,,,,,,,,,,,,,,,,,
대전,태양열,2020,616,0,0,,,,,,,,,,,,,,,,,
울산,태양열,2020,331,0,0,,,,,,,,,,,,,,,,,
세종,태양열,2020,116,0,0,,,,,,,,,,,,,,,,,
경기,태양열,2020,2433,0,0,,,,,,,,,,,,,,,,,
강원,태양열,2020,2848,0,0,,,,,,,,,,,,,,,,,
충북,태양열,2020,1290,0,0,,,,,,,,,,,,,,,,,
충남,태양열,2020,2288,0,0,,,,,,,,,,,,,,,,,
전북,태양열,2020,1248,0,0,,,,,,,,,,,,,,,,,
전남,태양열,2020,3074,0,0,,,,,,,,,,,,,,,,,
경북,태양열,2020,4163,0,0,,,,,,,,,,,,,,,,,
경남,태양열,2020,3931,0,0,,,,,,,,,,,,,,,,,
제주,태양열,2020,336,0,0,,,,,,,,,,,,,,,,,
서울,태양광,2020,51584,228302,187628,,,,,,,,,,,,,,,,,
부산,태양광,2020,49938,227625,187078,,,,,,,,,,,,,,,,,
대구,태양광,2020,37493,170703,145122,,,,,,,,,,,,,,,,,
인천,태양광,2020,42122,190865,166095,,,,,,,,,,,,,,,,,
광주,태양광,2020,63325,292567,245100,,,,,,,,,,,,,,,,,
대전,태양광,2020,20566,92382,78725,,,,,,,,,,,,,,,,,
울산,태양광,2020,27380,124484,104614,,,,,,,,,,,,,,,,,
세종,태양광,2020,18649,85394,72849,,,,,,,,,,,,,,,,,
경기,태양광,2020,314446,1441434,1302115,,,,,,,,,,,,,,,,,
강원,태양광,2020,302800,1408461,1311911,,,,,,,,,,,,,,,,,
충북,태양광,2020,241466,1115632,1017185,,,,,,,,,,,,,,,,,
충남,태양광,2020,531816,2479172,2201680,,,,,,,,,,,,,,,,,
전북,태양광,2020,694095,3241991,2905104,,,,,,,,,,,,,,,,,
전남,태양광,2020,850720,3972969,3640551,,,,,,,,,,,,,,,,,
경북,태양광,2020,497421,2317698,2037157,,,,,,,,,,,,,,,,,
경남,태양광,2020,315560,1457496,1282449,,,,,,,,,,,,,,,,,
제주,태양광,2020,105775,490790,471570,,,,,,,,,,,,,,,,,
서울,풍력,2020,47,204,104,,,,,,,,,,,,,,,,,
부산,풍력,2020,56,253,812,,,,,,,,,,,,,,,,,
대구,풍력,2020,6,26,13,,,,,,,,,,,,,,,,,
인천,풍력,2020,11255,52828,49095,,,,,,,,,,,,,,,,,
광주,풍력,2020,0,2,1,,,,,,,,,,,,,,,,,
대전,풍력,2020,91,398,200,,,,,,,,,,,,,,,,,
울산,풍력,2020,323,1514,1657,,,,,,,,,,,,,,,,,
세종,풍력,2020,0,0,0,,,,,,,,,,,,,,,,,
경기,풍력,2020,1202,5637,5361,,,,,,,,,,,,,,,,,
강원,풍력,2020,166671,782333,408351,,,,,,,,,,,,,,,,,
충북,풍력,2020,6,28,14,,,,,,,,,,,,,,,,,
충남,풍력,2020,640,3001,2055,,,,,,,,,,,,,,,,,
전북,풍력,2020,27948,131208,82824,,,,,,,,,,,,,,,,,
전남,풍력,2020,122787,576232,329647,,,,,,,,,,,,,,,,,
경북,풍력,2020,201093,944038,419405,,,,,,,,,,,,,,,,,
경남,풍력,2020,15828,74184,46840,,,,,,,,,,,,,,,,,
제주,풍력,2020,123154,578062,299029,,,,,,,,,,,,,,,,,
서울,수력,2020,237,1112,316,,,,,,,,,,,,,,,,,
부산,수력,2020,21,93,65,,,,,,,,,,,,,,,,,
대구,수력,2020,2759,12951,3560,,,,,,,,,,,,,,,,,
인천,수력,2020,8431,39579,12919,,,,,,,,,,,,,,,,,
광주,수력,2020,1660,7795,1830,,,,,,,,,,,,,,,,,
대전,수력,2020,55,241,100,,,,,,,,,,,,,,,,,
울산,수력,2020,310,1457,300,,,,,,,,,,,,,,,,,
세종,수력,2020,0,0,2310,,,,,,,,,,,,,,,,,
경기,수력,2020,138452,649895,277028,,,,,,,,,,,,,,,,,
강원,수력,2020,226264,1062271,520143,,,,,,,,,,,,,,,,,
충북,수력,2020,215136,1010026,514007,,,,,,,,,,,,,,,,,
충남,수력,2020,13122,61599,32865,,,,,,,,,,,,,,,,,
전북,수력,2020,60872,285784,83037,,,,,,,,,,,,,,,,,
전남,수력,2020,24308,114120,36471,,,,,,,,,,,,,,,,,
경북,수력,2020,67950,319014,179965,,,,,,,,,,,,,,,,,
경남,수력,2020,66040,310046,141469,,,,,,,,,,,,,,,,,
제주,수력,2020,728,3399,906,,,,,,,,,,,,,,,,,
서울,해양,2020,0,0,0,,,,,,,,,,,,,,,,,
부산,해양,2020,0,0,0,,,,,,,,,,,,,,,,,
대구,해양,2020,0,0,0,,,,,,,,,,,,,,,,,
인천,해양,2020,0,0,0,,,,,,,,,,,,,,,,,
광주,해양,2020,0,0,0,,,,,,,,,,,,,,,,,
대전,해양,2020,0,0,0,,,,,,,,,,,,,,,,,
울산,해양,2020,0,0,0,,,,,,,,,,,,,,,,,
세종,해양,2020,0,0,0,,,,,,,,,,,,,,,,,
경기,해양,2020,97396,457257,254000,,,,,,,,,,,,,,,,,
강원,해양,2020,0,0,0,,,,,,,,,,,,,,,,,
충북,해양,2020,0,0,0,,,,,,,,,,,,,,,,,
충남,해양,2020,0,0,0,,,,,,,,,,,,,,,,,
전북,해양,2020,0,0,0,,,,,,,,,,,,,,,,,
전남,해양,2020,0,0,1000,,,,,,,,,,,,,,,,,
경북,해양,2020,0,0,0,,,,,,,,,,,,,,,,,
경남,해양,2020,0,0,0,,,,,,,,,,,,,,,,,
제주,해양,2020,1,6,500,,,,,,,,,,,,,,,,,
서울,열에너지,2020,16451,0,0,,,,,,,,,,,,,,,,,
부산,열에너지,2020,3026,0,0,,,,,,,,,,,,,,,,,
대구,열에너지,2020,7441,0,0,,,,,,,,,,,,,,,,,
인천,열에너지,2020,8640,0,0,,,,,,,,,,,,,,,,,
광주,열에너지,2020,3753,0,0,,,,,,,,,,,,,,,,,
대전,열에너지,2020,5281,0,0,,,,,,,,,,,,,,,,,
울산,열에너지,2020,4196,0,0,,,,,,,,,,,,,,,,,
세종,열에너지,2020,14910,0,0,,,,,,,,,,,,,,,,,
경기,열에너지,2020,52502,0,0,,,,,,,,,,,,,,,,,
강원,열에너지,2020,20352,0,0,,,,,,,,,,,,,,,,,
충북,열에너지,2020,12171,0,0,,,,,,,,,,,,,,,,,
충남,열에너지,2020,22473,0,0,,,,,,,,,,,,,,,,,
전북,열에너지,2020,21819,0,0,,,,,,,,,,,,,,,,,
