"에너지원별(1)",에너지원별(2),에너지원별(3),에너지원별(4),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"에너지원별(1)",에너지원별(2),에너지원별(3),에너지원별(4),전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
"신·재생에너지 총발전량①+② (MWh)",소계,소계,소계,53665123,648640,572936,197016,745254,207138,71321,1340733,94713,3039182,3514752,1505716,10188066,5109846,12641507,10134295,1781652,1872355,52340558,620824,555757,213801,1096745,269032,108432,1145401,106914,3359322,3748855,1502675,9013117,5975546,10632701,9249434,1957535,2784464,43123776,646174,465586,226446,1474011,313908,125281,946151,155971,4162365,4854631,2155759,7329833,6841164,4938585,3694386,2312863,2480660,50657393,782277,616236,251812,2020296,345741,148871,902327,170224,4733827,5888937,2225401,8489538,8325469,6158271,4393519,2542146,2662500,57779999.48933738,723176.1475221913,693589.7962981707,293355.7086017202,1911643.3971798064,471271.4951168097,224281.0603773031,689744.1248791863,169374.7986902485,5269024.952534628,6479492.7158005,2785853.694292743,9023827.119885862,10385213.490696384,7481402.0975101385,5315056.869256284,2867619.5351747614,2996072.485520638
"신·재생에너지 총발전량①+② (MWh)",사업용,소계,소계,37255151,467996,502330,121053,681748,158861,26893,594152,73545,2606976,3398197,1328358,9688935,4955445,5375307,3945786,1515352,1814218,38028933,416393,471595,133048,1017964,211505,34857,514579,81610,2869416,3601066,1286058,8557160,5787045,4916325,3778842,1639054,2712419,39791354,438369,371099,133032,1380003,247636,44663,645907,127139,3646637,4676896,1905070,7088521,6613105,4653913,3443625,1977255,2398484,46856560,561587,510457,158628,1907678,269954,55116,577982,138528,4163697,5682226,1948742,8156726,8061705,5826006,4102883,2165894,2568752,53154365.964380115,464243.613316476,564692.6643256545,185954.3408637286,1770371.3334785744,376701.199349772,112075.462096,383255.6669095405,129899.5366529687,4593271.655446032,6226301.618674288,2458114.882027352,8500371.003905337,10060734.697329206,7091287.674117775,4943686.585104099,2409540.7873722888,2883863.2434110185
"신·재생에너지 총발전량①+② (MWh)",자가용,소계,소계,16409971,180644,70606,75963,63505,48277,44428,746581,21168,432206,116555,177358,499131,154402,7266201,6188509,266300,58137,14311625,204431,84161,80753,78781,57528,73576,630823,25304,489906,147789,216617,455957,188502,5716377,5470592,318481,72045,3332422,207805,94487,93414,94008,66272,80618,300244,28833,515728,177735,250689,241313,228059,284673,250761,335608,82176,3800833,220690,105779,93184,112618,75788,93755,324345,31696,570130,206711,276659,332812,263764,332265,290636,376253,93748,4625633.524957262,258932.5342057153,128897.1319725162,107401.3677379916,141272.0637012319,94570.2957670378,112205.598281303,306488.4579696457,39475.2620372799,675753.2970885963,253191.0971262117,327738.8122653909,523456.1159805238,324478.7933671766,390114.4233923634,371370.2841521853,458078.7478024726,112209.2421096195
"신·재생에너지 총발전량①+② (MWh)",① 재생에너지 합,소계,소계,50198169,327731,311474,155315,537467,204749,70905,1324042,94698,2330906,3514375,1505401,8418858,5105813,12519390,10123634,1781056,1872355,49002632,340229,307621,180211,533773,266482,82730,1133628,106865,2566138,3747979,1502255,7835576,5970564,10452317,9236543,1955258,2784464,37202048,305085,281257,218595,520583,310682,93553,932221,116237,2929914,4805455,2155142,4494230,6832526,4770519,3662355,2293227,2480469,43668518,343803,322758,237111,522823,341185,111077,846768,126389,3280766,5740642,2170437,5845613,8314254,5928947,4357360,2516475,2662109,50405547.156776235,388180.155030606,365616.7175580669,278408.7277306365,564400.4630465047,406331.913308229,139649.9992533119,472943.8365001107,128981.0455412356,3723947.724888123,6203412.004569022,2579629.604713285,6570279.324719006,10274015.227091013,7189210.85386627,5285823.832804165,2839026.2856815327,2995689.4404751128
"신·재생에너지 총발전량①+② (MWh)",① 재생에너지 합,사업용,소계,33811345,151973,241581,80977,474911,158861,26893,579463,73545,1903005,3397992,1328358,7920386,4951441,5253711,3938816,1515214,1814218,34740260,140870,224270,101548,456123,211505,31915,504833,81610,2082052,3600329,1286058,7380668,5782094,4736565,3770042,1637361,2712419,33928372,103329,187877,127530,428146,247636,36864,634160,87474,2422681,4627990,1905070,4254502,6605098,4487167,3415779,1958586,2398484,39938435,130332,219322,146764,413170,269682,42482,523841,94765,2721135,5534547,1894620,5514779,8051746,5598852,4071233,2142415,2568752,45859855.132820114,137329.871285476,239985.0445986546,174410.0768137286,427586.0860625743,316377.310339772,52470.010613,167847.1088625405,89576.0084289687,3060638.6037160326,5951085.950837288,2252893.093650352,6049239.584567338,9951295.248891206,6801583.031227775,4919522.511421098,2384152.348093289,2883863.2434110185
"신·재생에너지 총발전량①+② (MWh)",① 재생에너지 합,자가용,소계,16386824,175759,69892,74338,62556,45888,44012,744579,21154,427902,116382,177043,498472,154372,7265679,6184818,265843,58137,14262371,199359,83351,78664,77650,54978,50815,628795,25255,484086,147650,216196,454908,188471,5715752,5466501,317897,72045,3273676,201755,93380,91065,92438,63045,56690,298061,28763,507233,177464,250072,239728,227429,283352,246576,334641,81985,3730083,213471,103437,90347,109653,71503,68595,322926,31625,559631,206096,275817,330834,262508,330095,286127,374060,93358,4545692.023956116,250850.2837451299,125631.6729594124,103998.6509169079,136814.3769839303,89954.602968457,87179.9886403119,305096.7276375702,39405.0371122669,663309.1211720906,252326.0537317336,326736.5110629328,521039.7401516679,322719.978199806,387627.8226384945,366301.3213830662,454873.9375882436,111826.1970640941
"신·재생에너지 총발전량①+② (MWh)",② 신에너지 합,소계,소계,3466954,320908,261462,41702,207787,2389,416,16691,15,708275,377,315,1769208,4033,122117,10661,596,-,3337926,280596,248136,33590,562972,2550,25702,11773,50,793184,876,421,1177541,4982,180385,12891,2277,-,5921728,341090,184330,7851,953427,3227,31727,13930,39734,1232451,49176,617,2835603,8638,168067,32031,19637,191,6988875,438474,293478,14701,1497473,4557,37794,55559,43834,1453062,148294,54965,2643925,11215,229324,36159,25672,390,7374452.332561146,334995.9924915854,327973.0787401038,14946.9808710837,1347242.9341333017,64939.5818085808,84631.0611239912,216800.2883790755,40393.753149013,1545077.2276465055,276080.7112314781,206224.0895794581,2453547.795166856,111198.2636053707,292191.2436438689,29233.0364521191,28593.249493229,383.0450455254
"신·재생에너지 총발전량①+② (MWh)",② 신에너지 합,사업용,소계,3443807,316023,260749,40076,206838,-,-,14688,-,703971,205,-,1768549,4004,121596,6971,138,-,3288673,275523,247325,31501,561841,-,2942,9746,-,787364,737,-,1176492,4951,179760,8800,1693,-,5862982,335040,183222,5502,951857,-,7799,11747,39664,1223956,48906,-,2834019,8008,166746,27846,18669,-,6918125,431255,291136,11864,1494508,272,12634,54141,43763,1442562,147679,54122,2641947,9959,227154,31650,23479,-,7294510.83156,326913.742031,324707.619727,11544.26405,1342785.247416,60323.88901,59605.451483,215408.558047,40323.528224,1532633.05173,275215.667837,205221.788377,2451131.419338,109439.448438,289704.64289,24164.073683,25388.439279,-
"신·재생에너지 총발전량①+② (MWh)",② 신에너지 합,자가용,소계,23147,4885,713,1625,949,2389,416,2003,15,4304,172,315,660,30,522,3691,458,-,49254,5073,811,2089,1131,2550,22760,2027,50,5820,139,421,1049,31,625,4092,585,-,58746,6050,1107,2349,1570,3227,23928,2183,70,8495,270,617,1585,630,1321,4185,967,191,70750,7219,2342,2837,2965,4284,25160,1418,72,10500,615,843,1978,1256,2170,4509,2193,390,79941.5010011457,8082.2504605854,3265.4590131038,3402.7168210837,4457.6867173015,4615.6927985808,25025.6096409912,1391.7303320755,70.224925013,12444.1759165056,865.0433944781,1002.3012024581,2416.3758288559,1758.8151673707,2486.6007538689,5068.9627691191,3204.810214229,383.0450455254
