"에너지원별(1)",에너지원별(2),에너지원별(3),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"에너지원별(1)",에너지원별(2),에너지원별(3),전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
"신·재생에너지 합계①+② (toe)",소계,소계,18054339,388944,266102,193941,416566,83949,135462,1034251,77399,1856951,1400396,873924,2511407,1551001,3465666,2545246,782536,470597,16524882,361228,251656,179723,481843,88087,131164,828938,71498,1728157,1304389,736972,2190477,1689410,2852248,2273523,689532,666038,12378065,303099,189363,149874,489348,97865,90625,493628,73803,1554853,1306481,720895,1764287,1760693,1225665,925025,651123,581437,14000317,325737,213516,184664,595688,99072,91966,501111,84544,1664252,1558778,697775,1985783,2116947,1465050,1080720,710771,623944,15706206.407848757,317022.7004897045,236408.1032673754,179813.6321879005,586824.122633577,128439.1010398956,114634.0855628912,480458.5316933521,90157.4474889054,1782795.049660812,1730424.8467207009,851656.3004023662,2163188.731262125,2539588.3227367327,1754851.4177091513,1288507.4979442006,782019.4211033058,679417.0959457597
"신·재생에너지 합계①+② (toe)",① 재생에너지 합,소계,17315508,320512,210399,185033,372292,83402,135367,1030664,77396,1706019,1400313,873852,2134555,1550141,3439646,2542916,782402,470597,15813116,301380,198790,172535,361912,87503,125325,826398,71487,1559116,1304200,736875,1939644,1688349,2813816,2270712,689037,666038,11115797,230350,150083,148164,286243,97126,83484,490626,65338,1292205,1296002,720753,1160278,1758844,1189846,918136,646925,581394,12510554,232226,150968,181487,276678,98033,83514,489254,75206,1354582,1527182,686054,1422595,2114538,1416169,1072946,705268,623855,14134168.996997213,245539.2380816274,166497.5901515237,176575.4817932224,299790.054675707,114533.1190298906,96207.2597892252,434257.8025832958,81552.4544693654,1453494.493357442,1671605.8145340844,807714.5325027023,1640544.3888783231,2515874.9515461107,1692574.8972009453,1282199.7577755933,775877.7819978204,679329.3786303344
"신·재생에너지 합계①+② (toe)",② 신에너지 합,소계,738831,68432,55703,8908,44274,547,95,3587,3,150932,83,72,376852,860,26019,2330,134,-,711766,59848,52866,7188,119931,584,5839,2540,11,169041,189,96,250833,1062,38432,2811,494,-,1262268,72749,39280,1710,203105,739,7141,3002,8465,262648,10479,141,604009,1850,35819,6890,4198,44,1489762,93510,62548,3177,319009,1039,8453,11857,9338,309670,31596,11721,563188,2409,48881,7774,5503,89,1572037.410851543,71483.4624080771,69910.5131158518,3238.1503946782,287034.06795787,13905.982010005,18426.825773666,46200.7291100563,8604.99301954,329300.5563033698,58819.0321866165,43941.7678996639,522644.3423838021,23713.3711906219,62276.520508206,6307.7401686073,6141.6391054854,87.7173154253
"신·재생에너지 지역별 공급비중 (%)",소계,소계,100,2.15,1.47,1.07,2.31,0.46,0.75,5.73,0.43,10.29,7.76,4.84,13.91,8.59,19.2,14.1,4.33,2.61,100,2.19,1.52,1.09,2.92,0.53,0.79,5.02,0.43,10.46,7.89,4.46,13.26,10.22,17.26,13.76,4.17,4.03,100,2.45,1.53,1.21,3.95,0.79,0.73,3.99,0.6,12.56,10.55,5.82,14.25,14.22,9.9,7.47,5.26,4.7,100,2.33,1.53,1.32,4.25,0.71,0.66,3.58,0.6,11.89,11.13,4.98,14.18,15.12,10.46,7.72,5.08,4.46,100,2.0184549487,1.505189077,1.1448571827,3.736256276,0.8177601752,0.7298648864,3.0590361493,0.5740243388,11.35089533,11.01745897,5.4224188724,13.7728276013,16.169329861,11.1729807449,8.2038110571,4.979047141,4.3257873881
"① 재생에너지",태양열 (toe),소계,27395,775,883,1022,696,654,768,385,127,2887,3146,1194,2513,1300,2803,3881,3963,401,26688,695,813,925,665,607,708,357,122,2648,3005,1193,2415,1281,2913,4011,3962,370,26048,621,732,837,616,568,616,331,116,2433,2848,1290,2288,1248,3074,4163,3931,336,25568,561,686,738,577,540,570,307,109,2305,2684,1345,2132,1215,3296,4298,3899,306,25035.1642688,503.4917184,617.0816,647.7032128,543.29776,519.730816,527.537216,277.3717056,101.686304,2207.8227392,2492.0324864,1288.835776,2079.306784,1215.600544,3532.205888,4328.4159232,3873.6653312,279.378464
"① 재생에너지",태양광 (toe),소계,2193980,36471,35386,24076,27859,40764,14656,16609,13078,165349,151306,120657,256274,352618,449997,263064,176512,49303,3062023,45303,42827,31673,35117,54252,17902,21015,15148,237662,227157,174204,372658,501343,593972,367811,245360,78619,4165154,51584,49938,37493,42122,63325,20566,27380,18649,314446,302800,241466,531816,694095,850720,497421,315560,105775,5317227,55298,58882,44631,49014,70029,23997,32384,20576,384178,393308,304063,663622,905410,1112350,659785,394225,145474,6609386.668679762,65696.9564807347,71015.140318036,55601.0661554364,57127.9458094126,84614.3832535827,30136.0753972571,38903.0824856678,24538.1099160166,464712.797812253,468676.9209796452,369736.7907601607,792319.6578339178,1183906.541257617,1364271.722629774,875924.2939382504,492688.1346913087,169517.0489606923
"① 재생에너지",태양광 (toe),사업용,1750684,8171,21064,12509,13949,30256,5728,7827,8234,93729,125213,84883,222645,320392,406604,227152,124118,38210,2504790,8347,24885,17504,17443,41662,6798,10171,9365,146449,194068,129008,329695,460649,540329,323576,180834,64006,3504379,9283,29128,21278,21107,48889,7852,15002,12063,208241,262761,186563,478113,643274,786638,443730,242378,88079,4567632,10142,35733,25967,24597,53656,9049,19151,13334,265796,346731,242721,600768,846440,1039691,596926,311712,125217,5683462.739946147,11102.444976021,43415.756937501,32856.796742526,26773.496108577,64016.547061326,11176.112260569,23093.709698622,15598.444556058,317900.592318111,411415.316251911,296030.708579907,712666.2673309289,1110016.262448441,1276247.447585709,795012.620450181,391363.458530463,144776.758109295
"① 재생에너지",태양광 (toe),자가용,443296,28300,14322,11567,13910,10508,8927,8783,4844,71620,26093,35774,33629,32226,43393,35912,52394,11093,557234,36956,17942,14169,17674,12589,11104,10844,5783,91213,33088,45196,42963,40694,53643,44235,64526,14613,660775,42301,20810,16215,21015,14437,12714,12378,6587,106205,40038,54903,53703,50821,64082,53691,73182,17696,749595,45156,23149,18664,24417,16373,14948,13233,7242,118383,46578,61342,62854,58970,72658,62859,82514,20256,925923.9287336161,54594.5115047137,27599.383380535,22744.2694129104,30354.4497008356,20597.8361922567,18959.9631366881,15809.3727870458,8939.6653599586,146812.2054941421,57261.6047277342,73706.0821802537,79653.3905029888,73890.2788091758,88024.2750440651,80911.6734880694,101324.6761608457,24740.2908513973
"① 재생에너지",풍력 (toe),소계,525188,48,111,6,9150,0,95,528,-,1097,147306,4,645,4401,75172,155603,16707,114315,570836,44,74,6,9340,0,86,487,-,1032,146044,6,570,10803,104170,164884,16126,117163,671107,47,56,6,11255,0,91,323,-,1202,166671,6,640,27948,122787,201093,15828,123154,677507,45,15,6,8415,1,87,372,-,998,201821,11,437,31080,111982,194906,14551,112780,717864.2017065078,46.3186530231,15.6753128517,5.8870654415,8263.0662105198,1.76788752,88.3943759983,53.5543044479,-,958.5719549775,203378.5463220262,16.7949314397,456.0760418475,34439.9908877458,124775.9564991702,194643.7984868724,28435.7227216278,122284.0800509986
"① 재생에너지",풍력 (toe),사업용,522772,-,86,-,9105,-,-,524,-,1084,146853,-,633,4393,74430,155418,16318,113929,568596,-,51,-,9299,-,-,485,-,1019,145604,-,557,10797,103492,164715,15771,116806,668708,-,31,-,11212,-,-,320,-,1187,166188,-,625,27939,122072,200912,15450,122772,675174,-,1,-,8365,-,-,368,-,982,201339,-,421,31069,111298,194728,14189,112414,715434.975203559,-,1.134438,-,8202.737048901,-,-,49.3113744,-,941.065448811,202876.466266356,-,430.4826702,34427.394689166,124070.87875902,194460.380156676,28066.720399023,121908.403953006
"① 재생에너지",풍력 (toe),자가용,2416,48,26,6,45,0,95,3,-,12,453,4,12,9,743,185,389,387,2241,44,23,6,41,0,86,3,-,13,441,6,12,6,678,169,355,357,2398,47,25,6,43,0,91,3,-,15,483,6,15,9,715,181,377,381,2332,45,14,6,50,1,87,4,-,16,482,11,16,11,684,178,362,366,2429.2265029488,46.3186530231,14.5408748517,5.8870654415,60.3291616188,1.76788752,88.3943759983,4.2429300479,-,17.5065061665,502.0800556702,16.7949314397,25.5933716475,12.5961985798,705.0777401502,183.4183301964,369.0023226048,375.6760979926
"① 재생에너지",수력 (toe),소계,718787,236,19,859,7500,1689,78,187,0,150778,205458,183642,16355,46688,16607,49708,38482,500,594539,373,23,799,8515,1513,56,282,-,120716,150869,133851,16364,49373,20114,50635,40442,614,826344,237,21,2759,8431,1660,55,310,-,138452,226264,215136,13122,60872,24308,67950,66040,728,651227,132,9,3092,8765,1753,59,244,-,134900,151904,155715,12205,50892,18346,62247,50280,685,755117.1223083778,80.711451,55.348434,3187.749502152,6480.853222264,1335.377757672,27.848919,93.155592813,-,152857.125384455,249064.102338489,175601.587443651,11157.011286372,45345.045784209,11936.227043208,50804.745520899,46484.651764656,605.580863538
"① 재생에너지",수력 (toe),사업용,718140,236,6,859,7370,1689,-,187,0,150460,205458,183641,16334,46688,16607,49708,38482,415,593974,373,7,799,8448,1513,-,282,-,120374,150869,133849,16353,49373,20114,50635,40442,544,825838,237,8,2759,8423,1660,-,310,-,138103,226264,215136,13099,60872,24308,67950,66040,670,650633,132,7,3092,8603,1753,-,244,-,134593,151904,155715,12190,50892,18346,62247,50280,635,754248.5921763778,80.711451,6.907377,3187.749502152,6057.280395264,1335.377757672,-,93.155592813,-,152534.803075455,249064.102338489,175601.587443651,11154.262599372,45345.045784209,11936.227043208,50804.745520899,46484.651764656,561.984530538
"① 재생에너지",수력 (toe),자가용,647,-,13,-,131,-,78,-,-,318,-,1,21,-,-,-,-,85,565,-,16,-,66,-,56,-,-,343,-,2,12,-,-,-,-,70,506,-,13,-,8,-,55,-,-,349,-,-,23,-,-,-,-,58,594,-,1,-,161,-,59,-,-,307,-,-,15,-,-,-,-,50,868.530132,-,48.441057,-,423.572827,-,27.848919,-,-,322.322309,-,-,2.748687,-,-,-,-,43.596333
