국가명,국가코드(ISO 2자리 코드),겸임(관할),재외공관 유형,재외공관명,재외공관 위도,재외공관 경도,전화번호,영사콜센터번호,무료전화번호,긴급전화번호,재외공관주소
가나,GH,일반,대사관,주 가나 대한민국 대사관,5.575495,-0.185161,(233)302-771-705,(82)2-3210-0404,080-020-0219,(233)244-321-858,"No.10, Fifth Avenue Extension, Cantonments, P.O.Box GP 13700, Accra, Ghana,"
가봉,GA,일반,대사관,주 가봉 대한민국 대사관,0.477587266,9.393928461,(241)6530-1900,(82)2-3210-0404,080-020-0219,(241)7750-7822,"B.P.2620, Libreville, Gabon,"
가이아나,GY,겸임,대사관,주 베네수엘라 대한민국 대사관,10.491337,-66.861998,(58)212-954-1270,(82)2-3210-0404,080-020-0219,(58)412-309-3247,"Av. Francisco de Miranda, Centro Lido, Torre B, Piso 9, Ofic. 91-92-B, El Rosal, Caracas, Venezuela,"
감비아,GM,겸임,대사관,주 세네갈 대한민국 대사관,14.695506,-17.467318,(221)33-824-06-72,(82)2-3210-0404,080-020-0219,(221)77-639-5109,"Ambassade de la Republique de Coree, Villa Hamoudy, Rue Aime Cesaire, Fann Residence, B.P.5850, Dakar, Senegal,"
과테말라,GT,일반,대사관,주 과테말라 대한민국 대사관,14.587905,-90.513744,(502)2382-4051,(82)2-3210-0404,080-020-0219,(502)3368-9333,"5a. Ave. 5-55, Zona 14, Edificio Europlaza Torre 3, Nivel 7, Ciudad de Guatemala, Guatemala C.A,"
그레나다,GD,겸임,대사관,주 트리니다드토바고 대한민국 대사관,10.669715,-61.522711,(1)868-622-9081,(82)2-3210-0404,080-020-0219,(1)868-316-5672,"30# Elizabth street, St.Clair, Port of Spain, Trinidad and Tobago,"
그리스,GR,일반,대사관,주 그리스 대한민국 대사관,37.984663,23.760519,(30)210-698-4080,(82)2-3210-0404,080-020-0219,(30)694-611-7098,"Embassy of the Republic of Korea , Athens Tower A  building , 19th Floor, 2-4 Messogion Avenue, 115 27, Athens, Greece,"
기니,GN,겸임,대사관,주 세네갈 대한민국 대사관,14.695506,-17.467318,(221)33-824-06-72,(82)2-3210-0404,080-020-0219,(221)77-639-5109,"Ambassade de la Republique de Coree, Villa Hamoudy, Rue Aime Cesaire, Fann Residence, B.P.5850, Dakar, Senegal,"
기니비사우,GW,겸임,대사관,주 세네갈 대한민국 대사관,14.695506,-17.467318,(221)33-824-06-72,(82)2-3210-0404,080-020-0219,(221)77-639-5109,"Ambassade de la Republique de Coree, Villa Hamoudy, Rue Aime Cesaire, Fann Residence, B.P.5850, Dakar, Senegal,"
나미비아,NA,겸임,대사관,주 앙골라 대한민국 대사관,-8.920868,13.202023,(244)222-006-067,(82)2-3210-0404,080-020-0219,(244)938-880-573,"Condominio Zenith, Torre 1, 7&ordm; Andar, Via AL 16, Luanda, Angola,"
나우루,NR,겸임,대사관,주 피지 대한민국 대사관,-18.140068,178.423532,(679)330-0977,(82)2-3210-0404,080-020-0219,(679)992-2186,"8th Fl., Vanua House, Victoria Parade, Suva, Fiji,"
나이지리아,NG,일반,대사관,주 나이지리아 대한민국 대사관,9.084108,7.49347,(234)810-389-0991,(82)2-3210-0404,080-020-0219,(234)809-998-1726,"No.9 Ovia cresent, Off Pope John Paul Ⅱ street, Off Gana street, Maitama, Abuja,"
나이지리아,NG,일반,분관,주 라고스 대한민국 분관,6.459111,3.448935,(234)1-271-6295,(82)2-3210-0404,080-020-0219,(234)906-877-4619,"Plot 10A&amp;B Layi Ajayi Bembe Street, Parkview Estate, Ikoyi, Lagos,"
남수단,SS,겸임,대사관,주 우간다 대한민국 대사관,0.320245,32.583,(256)414-500-197,(82)2-3210-0404,080-020-0219,(256)774-478-376,"Plot 14 Ternan Avenue, Kampala, Uganda,"
남아프리카공화국,ZA,일반,대사관,주 남아프리카공화국 대한민국 대사관,-25.773293,28.226605,(27)12-460-2508,(82)2-3210-0404,080-020-0219,(27)66-332-5897,"265 Melk Street, Nieuw Muckleneuk, Pretoria 0181, South Africa,"
