Nc,AntiIp
AE,45.136.69.82
AE,45.140.175.138
AF,103.112.177.186
AF,58.147.144.222
AF,103.18.161.181
AF,103.235.177.186
AF,58.147.144.222
AF,175.106.47.178
AF,175.106.37.16
AR,168.96.170.2
AR,168.96.170.2
AR,168.83.170.2
AR,168.83.170.2
AR,168.226.85.225
AR,168.83.170.2
AR,168.96.170.2
AR,45.226.175.138
AR,168.226.170.2
AR,168.83.170.2
AR,45.234.175.138
AT,45.153.140.125
AT,45.90.69.82
AT,141.201.34.102
AT,45.128.175.138
AU,211.30.58.198
AU,211.28.105.138
AU,210.215.65.243
AU,58.105.240.72
AU,110.148.55.212
AU,61.68.151.195
AU,1.158.248.19
AU,211.29.117.226
AU,211.26.58.198
AU,124.179.159.114
AU,121.212.83.147
AU,211.28.63.190
AU,211.29.63.169
AU,115.131.73.2
AU,203.26.178.203
AU,124.177.159.114
AU,211.29.11.227
AU,1.144.245.102
AU,211.31.41.124
AU,211.30.111.178
AU,211.29.86.211
AU,211.30.34.118
AU,121.212.93.250
AU,211.31.111.160
AU,210.49.222.20
AU,124.177.159.114
AU,220.233.145.71
AU,210.11.65.243
AU,1.121.81.154
AU,58.169.13.206
AU,211.31.11.227
AU,211.31.117.226
AU,211.29.58.198
AU,211.28.63.190
AU,203.52.238.244
AU,121.215.167.1
AU,203.55.178.203
AU,118.211.234.138
AU,211.28.222.39
AU,211.30.117.226
AU,14.201.217.54
AU,211.27.63.190
AU,1.42.66.92
AU,211.29.63.169
AU,59.167.91.201
AU,211.29.58.198
AU,123.51.13.234
AU,121.210.118.15
AU,211.26.63.190
AU,211.27.111.178
AU,211.26.240.143
AU,125.63.231.111
AU,203.213.238.244
AU,125.63.231.111
AU,122.150.48.251
AU,14.203.113.164
AU,1.121.0.107
AU,175.39.47.178
AU,211.27.58.198
AU,211.28.86.211
AU,1.153.42.252
AU,125.168.231.111
AU,211.31.116.122
AU,1.134.248.19
AU,211.27.63.190
AU,115.130.166.114
